title,soldprice,solddate,bids,link
Sony Alpha A7 III 24.0MP Digital Mirrorless Camera (Body Only),1399.01,Sold  22 Nov 2020,10 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-0MP-Digital-Mirrorless-Camera-Body-Only/133577244647?epid=25031179622&hash=item1f19d2ffe7%3Ag%3AlPYAAOSwq1tfsVI7&LH_Auction=1
Sony Alpha A7 III 24.0MP Digital Camera (Body Only) With Extras,1120.0,Sold  22 Nov 2020,55 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-0MP-Digital-Camera-Body-Only-With-Extras/133577240358?hash=item1f19d2ef26%3Ag%3AJ-AAAOSwku9fsVFd&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera - Black (Body Only),490.0,Sold  22 Nov 2020,25 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-Black-Body-Only/353283833113?epid=14027883825&hash=item52415b7d19%3Ag%3A1uMAAOSwhlBfsnKm&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera - Black (Body Only) Mark 2 A72,475.0,Sold  21 Nov 2020,2 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-Black-Body-Only-Mark-2-A72/193750804819?epid=14027883825&hash=item2d1c72a953%3Ag%3AX2wAAOSwuqNfsFBC&LH_Auction=1
Sony a7iii mirrorless digital camera 24 megapixels with lens A7 3,1560.0,Sold  21 Nov 2020,20 bids,https://www.ebay.co.uk/itm/Sony-a7iii-mirrorless-digital-camera-24-megapixels-with-lens-A7-3/124439951004?hash=item1cf932f69c%3Ag%3AAfcAAOSwO-JfsEdc&LH_Auction=1
SONY A7 Full Frame Mirrorless Camera Body + 3 Batteries,420.0,Sold  21 Nov 2020,13 bids,https://www.ebay.co.uk/itm/SONY-A7-Full-Frame-Mirrorless-Camera-Body-3-Batteries/333789189606?hash=item4db762d5e6%3Ag%3A-XsAAOSwDphfr-08&LH_Auction=1
Sony Alpha A7 III 24.2 MP Digital Camera - Black (Body Only),1340.0,Sold  21 Nov 2020,24 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-2-MP-Digital-Camera-Black-Body-Only/293832406426?epid=4033519120&hash=item4469c6b59a%3Ag%3AYXMAAOSw4A1fr%7ETT&LH_Auction=1
Sony Alpha A7R III 42.4MP Digital Camera - Black (Body Only),1810.0,Sold  21 Nov 2020,37 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7R-III-42-4MP-Digital-Camera-Black-Body-Only/124439318605?epid=26027889595&hash=item1cf929504d%3Ag%3AzOcAAOSwOkRfr71J&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera - Black (Body Only),403.0,Sold  21 Nov 2020,9 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera-Black-Body-Only/233780981391?epid=12027869768&hash=item366e6eae8f%3Ag%3AhEYAAOSwl5hfr7vK&LH_Auction=1
Sony Alpha A7 III (Body Only) with Original Box Packaging,1250.0,Sold  20 Nov 2020,14 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-Body-Only-with-Original-Box-Packaging/114520995014?epid=25031179622&hash=item1aa9fbb4c6%3Ag%3A%7Ep4AAOSwgzVfsYI4&LH_Auction=1
"Sony Alpha A7 Mark II Mirrorless Camera, 24.3 MP + FE 28-70mm F3.5-5.6 OSS Len ",803.0,Sold  20 Nov 2020,7 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-Mark-II-Mirrorless-Camera-24-3-MP-FE-28-70mm-F3-5-5-6-OSS-Len/143840296833?hash=item217d8cbf81%3Ag%3AqikAAOSws5Zfibi3&LH_Auction=1
Sony Alpha A7S II Digital Camera - Black (Body Only) ( ILCE7SM2B) A7S2,925.79,Sold  20 Nov 2020,1 bid,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-II-Digital-Camera-Black-Body-Only-ILCE7SM2B-A7S2/264942006453?epid=13027885784&hash=item3dafc630b5%3Ag%3Ahm0AAOSwAyBfeV5e&LH_Auction=1
Sony A7 24.3MP Digital Camera Kit w/ FE 28-70mm OSS Lens And Extras,492.0,Sold  20 Nov 2020,40 bids,https://www.ebay.co.uk/itm/Sony-A7-24-3MP-Digital-Camera-Kit-w-FE-28-70mm-OSS-Lens-And-Extras/124438077705?epid=175240544&hash=item1cf9166109%3Ag%3AY4UAAOSwgjFfrnzk&LH_Auction=1
Sony Alpha A7 24.3MP Digital Camera - Black (FE 28-70mm OSS Lens) With Box,520.0,Sold  20 Nov 2020,1 bid,https://www.ebay.co.uk/itm/Sony-Alpha-A7-24-3MP-Digital-Camera-Black-FE-28-70mm-OSS-Lens-With-Box/313307782253?epid=175240544&hash=item48f2995c6d%3Ag%3AKJoAAOSwpxNftuxr&LH_Auction=1
